"Filename","SourcePath","TargetDomain","TargetPath","Hash","Migrated","Error"
"dependency_management.schema.json","C:\eva-foundry\37-data-model\schema\dependency_management.schema.json","domain_06_strategy-portfolio","c:\eva-foundry\37-data-model\schema\domain_06_strategy-portfolio\dependency_management.schema.json","5777AC32BBCBE2489CB5E5EAEFA1DBDB4158FCAF50ED6616E99323C81FA0C337","False",
"deployment_quality_scores.schema.json","C:\eva-foundry\37-data-model\schema\deployment_quality_scores.schema.json","domain_08_devops-delivery","c:\eva-foundry\37-data-model\schema\domain_08_devops-delivery\deployment_quality_scores.schema.json","0D6CE1D16DB3D2E5A36767243747FFF3512BD1F33C1149044AFC64494CFD8626","False",
"deployment_records.schema.json","C:\eva-foundry\37-data-model\schema\deployment_records.schema.json","domain_08_devops-delivery","c:\eva-foundry\37-data-model\schema\domain_08_devops-delivery\deployment_records.schema.json","06B2209A9BD5E58D30D74D8E31B109928F1261ED96BC1CB41584A9D068BBEF36","False",
"endpoint.schema.json","C:\eva-foundry\37-data-model\schema\endpoint.schema.json","domain_01_system-architecture","c:\eva-foundry\37-data-model\schema\domain_01_system-architecture\endpoint.schema.json","E24966C03D21BB59F7853A5A8951208972EE7D18C690A1A133C03C9303EF105C","False",
"eva_model.schema.json","C:\eva-foundry\37-data-model\schema\eva_model.schema.json","domain_01_system-architecture","c:\eva-foundry\37-data-model\schema\domain_01_system-architecture\eva_model.schema.json","DB33AC6E72ED80A4B904E0796A3F41179597DE9C6C9B1043D5F29511E540F79D","False",
"evidence.schema.json","C:\eva-foundry\37-data-model\schema\evidence.schema.json","domain_10_observability-evidence","c:\eva-foundry\37-data-model\schema\domain_10_observability-evidence\evidence.schema.json","D6A8575F811B764493671DBCA1A98175D30AD5780EF1022149959BA1C09E0650","False",
"execution_state_machines.schema.json","C:\eva-foundry\37-data-model\schema\execution_state_machines.schema.json","domain_07_execution-engine","c:\eva-foundry\37-data-model\schema\domain_07_execution-engine\execution_state_machines.schema.json","D105E9ACFBF094518B66C0C053E0397D24E65AA9990E3702B85A227F4A44E6DA","False",
"execution_workflow_instances.schema.json","C:\eva-foundry\37-data-model\schema\execution_workflow_instances.schema.json","domain_07_execution-engine","c:\eva-foundry\37-data-model\schema\domain_07_execution-engine\execution_workflow_instances.schema.json","09C88B5344C0C80B65239AF670EF0BC102ED975E174323EA2E4154FC6217BEEF","False",
"execution_workflow_templates.schema.json","C:\eva-foundry\37-data-model\schema\execution_workflow_templates.schema.json","domain_07_execution-engine","c:\eva-foundry\37-data-model\schema\domain_07_execution-engine\execution_workflow_templates.schema.json","6FC001D539C2ACDF434A3598785F80FED7001B885803CA31374D1CDCED55F6E8","False",
"feature_flag.schema.json","C:\eva-foundry\37-data-model\schema\feature_flag.schema.json","domain_12_ontology-domains","c:\eva-foundry\37-data-model\schema\domain_12_ontology-domains\feature_flag.schema.json","BE39F11422EDF04A5EC3521B69CA6B649BB518A74258E6D0B020B467DBF729D8","False",
"framework_evidence_mapping.schema.json","C:\eva-foundry\37-data-model\schema\framework_evidence_mapping.schema.json","domain_09_governance-policy","c:\eva-foundry\37-data-model\schema\domain_09_governance-policy\framework_evidence_mapping.schema.json","3B61EEA6D9A8C93760204B0E0D390B24F6CC8CEA992E9095113FCF8BFC244594","False",
"goal_tracking.schema.json","C:\eva-foundry\37-data-model\schema\goal_tracking.schema.json","domain_06_strategy-portfolio","c:\eva-foundry\37-data-model\schema\domain_06_strategy-portfolio\goal_tracking.schema.json","5252D5DD05BDEE042134AE190F7C1AF930C5C48EAED0394D51195FF51F72DDFD","False",
"hook.schema.json","C:\eva-foundry\37-data-model\schema\hook.schema.json","domain_03_ai-runtime","c:\eva-foundry\37-data-model\schema\domain_03_ai-runtime\hook.schema.json","834FD1E4FB1BAA95659EC7A2BFFCEBA36A28DF419BB804E019B7C4647D00B0BB","False",
"incident_management_procedures.schema.json","C:\eva-foundry\37-data-model\schema\incident_management_procedures.schema.json","domain_12_ontology-domains","c:\eva-foundry\37-data-model\schema\domain_12_ontology-domains\incident_management_procedures.schema.json","4A2C7612B9C741D9726C06692D6685D60B84E8C7B1C0646AD2C8E4194016AE31","False",
"incident_response.schema.json","C:\eva-foundry\37-data-model\schema\incident_response.schema.json","domain_12_ontology-domains","c:\eva-foundry\37-data-model\schema\domain_12_ontology-domains\incident_response.schema.json","4671FA35144C9FAC9AFBA44CE26439E0D1A6855A15D8DB58A8C2F43BEBD245EC","False",
"incident_tracking.schema.json","C:\eva-foundry\37-data-model\schema\incident_tracking.schema.json","domain_12_ontology-domains","c:\eva-foundry\37-data-model\schema\domain_12_ontology-domains\incident_tracking.schema.json","9C9025E0CB75876923E763720DE2A0EE5FDD6D99391A6BADBEEEC62D3F19CB74","False",
"infrastructure.schema.json","C:\eva-foundry\37-data-model\schema\infrastructure.schema.json","domain_01_system-architecture","c:\eva-foundry\37-data-model\schema\domain_01_system-architecture\infrastructure.schema.json","4D683F26660124DDFAD125E1F936FBFBB78E996488ABEC5E2D09EEE4E364AED4","False",
"infrastructure_drift.schema.json","C:\eva-foundry\37-data-model\schema\infrastructure_drift.schema.json","domain_01_system-architecture","c:\eva-foundry\37-data-model\schema\domain_01_system-architecture\infrastructure_drift.schema.json","901EF00D82B4EA1E875B03B0C353AA449F80F5B587D0412C1CBA745925A6DF40","False",
"infrastructure_security_policies.schema.json","C:\eva-foundry\37-data-model\schema\infrastructure_security_policies.schema.json","domain_01_system-architecture","c:\eva-foundry\37-data-model\schema\domain_01_system-architecture\infrastructure_security_policies.schema.json","A748BEC68306060B0DE0503BC39DC8A2548BFFCAF08434169699EBE1FD4C42BC","False",
"literal.schema.json","C:\eva-foundry\37-data-model\schema\literal.schema.json","domain_03_ai-runtime","c:\eva-foundry\37-data-model\schema\domain_03_ai-runtime\literal.schema.json","58E6A998E0EA422F4F6F8098A07704D5F006B5D338D4C8F44A1B9B504285AF52","False",
